id	title	author	category	mode	query	note
camus-myth-sisyphus	The Myth of Sisyphus	Albert Camus	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
sartre-being-nothingness	Being and Nothingness	Jean-Paul Sartre	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
beauvoir-ethics-ambiguity	The Ethics of Ambiguity	Simone de Beauvoir	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
frankl-mans-search	Man's Search for Meaning	Viktor Frankl	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
popper-open-society	The Open Society and Its Enemies	Karl Popper	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
rawls-theory-justice	A Theory of Justice	John Rawls	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
foucault-discipline-punish	Discipline and Punish	Michel Foucault	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
fanon-wretched-earth	The Wretched of the Earth	Frantz Fanon	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
kuhn-scientific-revolutions	The Structure of Scientific Revolutions	Thomas Kuhn	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
orwell-1984	Nineteen Eighty-Four	George Orwell	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition in the United States.
fromm-art-loving	The Art of Loving	Erich Fromm	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
hayek-road-serfdom	The Road to Serfdom	Friedrich Hayek	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
freire-pedagogy-oppressed	Pedagogy of the Oppressed	Paulo Freire	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
king-strength-love	Strength to Love	Martin Luther King Jr.	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
baldwin-fire-next-time	The Fire Next Time	James Baldwin	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
solzhenitsyn-gulag	The Gulag Archipelago	Aleksandr Solzhenitsyn	Philosophy-Modern-Licensed	licensed	-	Full text requires a licensed edition.
